Roll number,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,Total,Last month,percentage,total percentage
238x1a4400,7,0,7,6,6,0,7,7,0,0,0,0,0,7,,,,,,,,,,,,,,,,,,47,100,100,100
238x1a4401,7,0,7,6,6,0,7,7,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,40,59.5,85.11,72.31
238x1a4402,7,0,7,6,6,0,7,7,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,40,82,85.11,83.56
238x1a4403,7,0,7,6,0,0,7,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,27,66.3,57.45,61.88
238x1a4404,7,0,7,6,0,0,7,7,0,0,0,0,0,7,,,,,,,,,,,,,,,,,,41,72,87.23,79.62
238x1a4405,7,0,7,6,6,0,7,7,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,40,69.2,85.11,77.16
238x1a4407,7,0,7,6,6,0,0,7,0,0,0,0,0,7,,,,,,,,,,,,,,,,,,40,74.7,85.11,79.91
238x1a4408,7,0,7,6,6,0,7,7,0,0,0,0,0,7,,,,,,,,,,,,,,,,,,47,77.9,100,88.95
238x1a4409,7,0,7,6,6,0,7,7,0,0,0,0,0,7,,,,,,,,,,,,,,,,,,47,82,100,91
238x1a4410,7,0,7,4,6,0,7,4,0,0,0,0,0,7,,,,,,,,,,,,,,,,,,42,63,89.36,76.18
238x1a4411,7,0,0,4,0,0,7,4,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,22,76,46.81,61.41
238x1a4412,7,0,7,6,0,0,0,4,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,24,74,51.06,62.53
238x1a4413,7,0,7,6,6,0,7,7,0,0,0,0,0,7,,,,,,,,,,,,,,,,,,47,81,100,90.5
238x1a4414,0,0,0,6,0,0,7,7,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,20,45,42.55,43.78
238x1a4415,7,0,7,0,6,0,0,7,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,27,43,57.45,50.23
238x1a4416,7,0,7,6,6,0,0,0,0,0,0,0,0,7,,,,,,,,,,,,,,,,,,33,82,70.21,76.11
238x1a4417,7,0,7,6,6,0,7,7,0,0,0,0,0,7,,,,,,,,,,,,,,,,,,47,60,100,80
238x1a4418,7,0,0,6,6,0,7,4,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,30,74.7,63.83,69.27
238x1a4419,7,0,7,6,0,0,7,7,0,0,0,0,0,7,,,,,,,,,,,,,,,,,,41,72,87.23,79.62
238x1a4420,0,0,0,5,6,0,7,7,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,25,73,53.19,63.1
238x1a4421,7,0,0,6,6,0,7,7,0,0,0,0,0,7,,,,,,,,,,,,,,,,,,40,44,85.11,64.56
238x1a4422,7,0,7,6,6,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,26,74,55.32,64.66
238x1a4423,7,0,7,6,6,0,7,7,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,40,83,85.11,84.06
238x1a4424,7,0,7,6,0,0,7,7,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,34,81,72.34,76.67
238x1a4425,7,0,7,6,6,0,7,7,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,40,84,85.11,84.56
238x1a4426,7,0,7,6,6,0,7,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,33,82,70.21,76.11
238x1a4427,7,0,0,6,6,0,7,4,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,30,65,63.83,64.42
238x1a4428,7,0,7,6,6,0,7,7,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,40,56,85.11,70.56
238x1a4429,7,0,0,6,0,0,7,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,20,66,42.55,54.28
238x1a4430,7,0,7,6,6,0,7,4,0,0,0,0,0,7,,,,,,,,,,,,,,,,,,44,74,93.62,83.81
238x1a4431,7,0,7,6,0,0,7,4,0,0,0,0,0,7,,,,,,,,,,,,,,,,,,38,74,80.85,77.43
238x1a4432,7,0,0,6,6,0,7,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,26,63,55.32,59.16
238x1a4433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,0,82,0,41
238x1a4434,7,0,7,6,6,0,7,7,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,40,70,85.11,77.56
238x1a4435,7,0,7,6,6,0,7,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,33,72,70.21,71.11
238x1a4437,7,0,0,6,6,0,0,7,0,0,0,0,0,7,,,,,,,,,,,,,,,,,,33,77,70.21,73.61
238x1a4438,7,0,7,6,6,0,7,0,0,0,0,0,0,7,,,,,,,,,,,,,,,,,,40,82,85.11,83.56
238x1a4439,7,0,7,6,6,0,0,4,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,30,82,63.83,72.92
238x1a4440,7,0,0,6,0,0,7,0,0,0,0,0,0,7,,,,,,,,,,,,,,,,,,27,77,57.45,67.23
238x1a4441,7,0,0,6,6,0,7,7,0,0,0,0,0,7,,,,,,,,,,,,,,,,,,40,79,85.11,82.06
238x1a4442,7,0,7,6,6,0,7,4,0,0,0,0,0,7,,,,,,,,,,,,,,,,,,44,87,93.62,90.31
238x1a4443,7,0,7,6,6,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,26,81,55.32,68.16
238x1a4444,0,0,0,6,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,6,79,12.77,45.89
238x1a4445,7,0,7,6,6,0,7,4,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,37,81,78.72,79.86
238x1a4446,7,0,7,6,6,0,7,4,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,37,81,78.72,79.86
238x1a4447,7,0,7,6,6,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,26,82,55.32,68.66
238x1a4449,7,0,7,6,6,0,7,7,0,0,0,0,0,7,,,,,,,,,,,,,,,,,,47,76,100,88
238x1a4450,7,0,7,6,6,0,7,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,33,78,70.21,74.11
238x1a4451,7,0,7,6,6,0,0,0,0,0,0,0,0,7,,,,,,,,,,,,,,,,,,33,82,70.21,76.11
238x1a4452,7,0,0,0,0,0,7,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,14,61,29.79,45.4
238x1a4453,7,0,7,6,0,0,7,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,27,75,57.45,66.23
238x1a4454,7,0,7,6,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,20,77,42.55,59.78
238x1a4456,7,0,7,6,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,20,77,42.55,59.78
